,tweet_id,date,original_tweets,cleaned_tweets,sentiment
0,1080212949464043520,2019-01-01,One of my favorite of many things about what the Trump hat represents to me is that people can’t tell me what to do because I’m black,one of my favorite of many things about what the trump hat represents to me is that people can tell me what to do because black,1
1,1080211582955663360,2019-01-01,Spoke with Joe Rogan    Podcast coming soon🔥🔥🔥,spoke with joe rogan podcast coming soon,0
2,1080209800846176256,2019-01-01,From now on I’m performing with my mutherfucking hat on 🐉🐉🐉,from now on performing with my mutherfucking hat on,0
4,1080206642040340481,2019-01-01,Love everyone      Start the year clean      Just be     All love,love everyone sta the year clean just be all love,1
5,1080206417523429376,2019-01-01,RT @yetaughtni: Honestly felt like the TL needed this... words of wisdom from the wisest ✨✨✨✨ https://t.co/NvsovzihjT,honestly felt like the tl needed this words of wisdom from the wisest,1
6,1080206353308692480,2019-01-01,RT @JordanPrileszky: Rolling into 2019 with a line up of my favourite illustrations of @kanyewest /// Thank you for always being an inspira…,rolling into with line up of my favourite illustrations of thank you for always being an inspira,0
7,1080206247981309952,2019-01-01,RT @rihsnake: DOPE https://t.co/CcDM9W3h08,dope,0
8,1080206155811414016,2019-01-01,RT @BasedCharlie: Drake telling OVO fest that Kanye is his biggest Inspiration just Incase y’all needed more confirmation https://t.co/XFCo…,drake telling ovo fest that kanye is his biggest inspiration just incase all needed more confirmation,1
9,1080206130041651200,2019-01-01,RT @ima_fix_wolves: @kanyewest KANYE KANYE KANYE I WANNA FRAME KIDS SEE GHOSTS SHORT FILM POSTER NEXT https://t.co/NpbHk7edJi,kanye kanye kanye wanna frame kids see ghosts sho film poster next,0
10,1080206103969914880,2019-01-01,RT @TrvppyHippy: had to snap real quick ya feel me https://t.co/ZjiFcsHlBO,had to snap real quick ya feel me,1
11,1080205920431296512,2019-01-01,RT @KanyeStanWV: My two @kanyewest tattoos https://t.co/sZOcjMePHc,my two tattoos,0
12,1080205829662371840,2019-01-01,RT @LUVisUzi: We need a collab Mr West...😌 https://t.co/uvCqDLdtZk,we need collab mr west,0
13,1080205500854153216,2019-01-01,RT @tyfg_noodles: @kanyewest my tattoos are a daily inspiration thank you for the greatness https://t.co/s2LSXXj2Un,my tattoos are daily inspiration thank you for the greatness,0
14,1080205153729302528,2019-01-01,RT @KrysJenner: My new bed spread tho #Famous https://t.co/hnvw9eCtdW,my new bed spread tho famous,1
16,1080204660462346240,2019-01-01,RT @CranetheGod: I feel FREEEEE,feel freeeee,0
17,1080204572717592578,2019-01-01,RT @YEEZYtaughtyou: @kanyewest the process of greatness https://t.co/bZI9etimc3,the process of greatness,0
19,1080204412436369409,2019-01-01,RT @traptomcruise22: We are witnessing the greatest artist of all time in action @kanyewest,we are witnessing the greatest aist of all time in action,1
20,1080204387522232320,2019-01-01,RT @noemikardash: 2024 LETS FUCKIN GOOOOO https://t.co/lkvaNM5Ip3,lets fuckin gooooo,0
21,1080204165119336448,2019-01-01,RT @ima_fix_wolves: @kanyewest THANK YOU FOR HELPING REFORM MENTAL AND PHYSICAL PRISONS,thank you for helping reform mental and physical prisons,-1
22,1080204136497393667,2019-01-01,RT @ScooptyWhooop: THE UNIVERSE IS ON OUR SIDE,the universe is on our side,0
23,1080204109360160768,2019-01-01,RT @_camramirez: Happy Birthday Kanye https://t.co/Z07BPpMEn1,happy bihday kanye,1
24,1080204092708810753,2019-01-01,RT @yoyotrav: I’m speaking a KSG Tour into existence! https://t.co/ORccDewpDC,speaking ksg tour into existence,0
25,1080204046152040448,2019-01-01,RT @Thugtistics: have too much talent to do that https://t.co/P32M8jxgkK,have too much talent to do that,1
26,1080203940526845952,2019-01-01,RT @colinags: this always https://t.co/qRsXjT74pK,this always,0
27,1080203911544205312,2019-01-01,RT @HYPEBEAST: Don C's Air Jordan 312 goes for gold. 🥇 https://t.co/drtNk6xYaJ,don air jordan goes for gold,0
28,1080203898139246592,2019-01-01,RT @dirtbagjones: Dragon energy https://t.co/Zth4eVIfoG,dragon energy,0
29,1080203878182772736,2019-01-01,RT @Treysouls: OUR YEAR https://t.co/df8jtYkZl8,our year,0
30,1080203867998973952,2019-01-01,"RT @thelifeofyzy: 2024
2024
2024
2024
2024
2024

the year of freeeeeee . @kanyewest🌍❤️",the year of freeeeeee,0
31,1080203843575545856,2019-01-01,RT @NaeomiCampbell: @kanyewest President Kanye West and First Lady Kim Kardashian West 🔥🔥🔥🔥 RUN THAT SHIT!!!,president kanye west and first lady kim kardashian west run that shit,1
32,1080203759379070976,2019-01-01,RT @weekndvis: @kanyewest YEEZUS JUST ROSE AGAIN,yeezus just rose again,1
33,1080203742119481346,2019-01-01,RT @lukewilson022: @kanyewest The year we finally achieve free thought and love for everyone,the year we finally achieve free thought and love for everyone,1
34,1080203088055566337,2019-01-01,RT @BasedCharlie: Kids see ghosts! https://t.co/wsIqBX3cXN,kids see ghosts,0
35,1080203055813951488,2019-01-01,"RT @TiaTakesLs: WE GOT LOVE FOR 
 @kanyewest back NO MATTER WHAT!

KANYE WEST FANS ARE FANS OF THEMSELVES!",we got love for back no matter what kanye west fans are fans of themselves,1
36,1080203037258350592,2019-01-01,RT @jeremyyyywest: YEEZUS JUST ROSE AGAIN,yeezus just rose again,1
38,1080202939359059968,2019-01-01,RT @JustMattBentley: @kanyewest I feel kinda freeeee,feel kinda freeeee,0
39,1080202926348333056,2019-01-01,RT @Maha_Sattva: @kanyewest FREEEEEEEEEEE I FEEL FREEEEEEE,freeeeeeeeeee feel freeeeeee,0
40,1080202916286218240,2019-01-01,RT @narcicismo: @kanyewest THANK YOU FOR BEING YOU YE WE LOVE U,thank you for being you ye we love,1
41,1080202905053913094,2019-01-01,RT @yetaughtni: @kanyewest Love you Kanye,love you kanye,1
42,1080202885386792962,2019-01-01,RT @CranetheGod: @kanyewest CAN I TALK MY SHIT AGAIN,can talk my shit again,-1
43,1080202575905845248,2019-01-01,Free thought,free thought,1
44,1080202515239526401,2019-01-01,RT @NaeomiCampbell: @kanyewest 2019 is gonna be OUR year ✊🏾,is gonna be our year,0
45,1080202185550352384,2019-01-01,RT @ima_fix_wolves: @kanyewest YOURE MY FAVORITE SUPERHERO SINCE I WAS BORN YOULL NEVER STOP BEING MY HERO BECAUSE YOU TAUGHT ME TO BELIEVE…,youre my favorite superhero since was born youll never stop being my hero because you taught me to believe,1
46,1080202126880436224,2019-01-01,RT @KanyePodcast: @kanyewest Steve Jobs mixed with Steve Austin,steve jobs mixed with steve austin,0
47,1080202068797796352,2019-01-01,RT @zeinabnajm: @kanyewest WE GOT LOVE FOR YOU FOREVER,we got love for you forever,1
48,1080201510527483904,2019-01-01,RT @JaidaRaymond: I’ll love Kanye forever fuck y’all,ll love kanye forever fuck all,1
49,1080201404705193985,2019-01-01,RT @Khlomoney98: @kanyewest we are the future,we are the future,0
50,1080201380772536320,2019-01-01,RT @AdamWolpert1: @kanyewest It’s the paradigm shift big bro,it the paradigm shift big bro,0
51,1080201370567815168,2019-01-01,"RT @yeezyenergy: @kanyewest we always gunna hold it down for you ye, be yourself, be free",we always gunna hold it down for you ye be yourself be free,1
52,1080201358093873154,2019-01-01,RT @WavyYeezyy: @kanyewest Change the world with Love,change the world with love,1
53,1080201347373268992,2019-01-01,RT @lil_sperm: @kanyewest God first,god first,1
54,1080201334823956480,2019-01-01,RT @Maha_Sattva: @kanyewest My 5 year old daughter wrote this the other day https://t.co/V4fP41RCAC,my year old daughter wrote this the other day,-1
55,1080201316406722561,2019-01-01,RT @KrysJenner: @kanyewest God bless you always 🙏🏻✨,god bless you always,0
56,1080201304595607553,2019-01-01,RT @ima_fix_wolves: @kanyewest GOD LOVES YOU,god loves you,0
57,1080201245309063169,2019-01-01,RT @Khlomoney98: @kanyewest positives vibes only in 2019,positives vibes only in,0
58,1080201232537419778,2019-01-01,RT @el_alacran14: @kanyewest That’s the God kind of love! Love everyone ❤️,that the god kind of love love everyone,1
59,1080201037716217856,2019-01-01,RT @kanyewest: We will change the world.  God is on my side. I am a Christian. I am a tax payer. I am myself. God is with us.,we will change the world god is on my side am christian am tax payer am myself god is with us,0
60,1080201007122927617,2019-01-01,RT @monkeydnahom: @kanyewest WORLD LOVE,world love,1
61,1080200973715263488,2019-01-01,RT @JaidaRaymond: Saint Pablo needed to be a single,saint pablo needed to be single,-1
